Upperbound	TP	FP	FN	TN	P	N	Total	TPR	TNR	PPV	NPV	FNR	FPR	FDR	FOR	ACC	F1
1.2	4239	549	7605	12042	11844	12591	24435	0.35790273547172546	0.9563974142074585	0.8853383660316467	0.6129180192947388	0.6420972347259521	0.043602585792541504	0.11466163396835327	0.38708198070526123	0.6662983298301697	0.5097402930259705
1.21	4239	549	7605	12042	11844	12591	24435	0.35790273547172546	0.9563974142074585	0.8853383660316467	0.6129180192947388	0.6420972347259521	0.043602585792541504	0.11466163396835327	0.38708198070526123	0.6662983298301697	0.5097402930259705
1.24	4248	540	7687	11961	11935	12501	24436	0.3559279441833496	0.9568034410476685	0.8872180581092834	0.6087642312049866	0.6440720558166504	0.04319655895233154	0.11278194189071655	0.3912357687950134	0.6633245944976807	0.5080428719520569
1.26	4255	533	7802	11845	12057	12378	24435	0.3529070317745209	0.9569397568702698	0.8886800408363342	0.6028910279273987	0.6470929384231567	0.043060243129730225	0.11131995916366577	0.3971089720726013	0.658890962600708	0.5051944255828857
1.25	4243	545	7802	11846	12045	12391	24436	0.35226234793663025	0.956016480922699	0.8861737847328186	0.6029112339019775	0.6477376222610474	0.043983519077301025	0.1138262152671814	0.39708876609802246	0.658413827419281	0.5041288137435913
1.27	4253	535	7839	11808	12092	12343	24435	0.3517201542854309	0.9566556215286255	0.8882623314857483	0.6010077595710754	0.6482798457145691	0.04334437847137451	0.11173766851425171	0.39899224042892456	0.6572948694229126	0.5039100050926208
1.28	4251	536	7876	11772	12127	12308	24435	0.3505401313304901	0.9564511179924011	0.8880300521850586	0.5991449356079102	0.6494598388671875	0.04354888200759888	0.1119699478149414	0.40085506439208984	0.6557397246360779	0.5026605129241943
1.29	4251	536	7876	11772	12127	12308	24435	0.3505401313304901	0.9564511179924011	0.8880300521850586	0.5991449356079102	0.6494598388671875	0.04354888200759888	0.1119699478149414	0.40085506439208984	0.6557397246360779	0.5026605129241943
1.3	4251	536	7876	11772	12127	12308	24435	0.3505401313304901	0.9564511179924011	0.8880300521850586	0.5991449356079102	0.6494598388671875	0.04354888200759888	0.1119699478149414	0.40085506439208984	0.6557397246360779	0.5026605129241943
1.31	4249	538	7913	11734	12162	12272	24434	0.3493668735027313	0.9561603665351868	0.8876122832298279	0.5972412824630737	0.6506330966949463	0.04383963346481323	0.11238771677017212	0.40275871753692627	0.6541295051574707	0.5013865232467651
1.45	4303	484	8110	11537	12413	12021	24434	0.34665271639823914	0.9597371220588684	0.8988928198814392	0.5872143507003784	0.6533472537994385	0.04026287794113159	0.10110718011856079	0.4127856492996216	0.6482769846916199	0.5003488659858704
1.46	4303	484	8110	11537	12413	12021	24434	0.34665271639823914	0.9597371220588684	0.8988928198814392	0.5872143507003784	0.6533472537994385	0.04026287794113159	0.10110718011856079	0.4127856492996216	0.6482769846916199	0.5003488659858704
1.32	4246	542	7985	11663	12231	12205	24436	0.34715068340301514	0.9555919766426086	0.8868003487586975	0.5935972929000854	0.6528493165969849	0.04440802335739136	0.11319965124130249	0.40640270709991455	0.6510476469993591	0.49897170066833496
1.47	4320	467	8293	11355	12613	11822	24435	0.34250375628471375	0.9604973793029785	0.9024441242218018	0.5779213905334473	0.6574962139129639	0.039502620697021484	0.09755587577819824	0.42207860946655273	0.6414978504180908	0.4965516924858093
